home_team,away_team,tournament,is_neutral,year,month,home_roll_goals_for_5,home_roll_goals_against_5,away_roll_goals_for_5,away_roll_goals_against_5,home_roll_unique_scorers_5,away_roll_unique_scorers_5,home_roll_penalty_goals_5,away_roll_penalty_goals_5,home_result
United States,Jamaica,Friendly,1,2021,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
El Salvador,Grenada,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,Win
Canada,Bermuda,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4,Win
Curaçao,Saint Vincent and the Grenadines,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.4,0.0,0.2,0.0,Win
Panama,Barbados,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Win
Haiti,Belize,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,Win
Trinidad and Tobago,Guyana,FIFA World Cup qualification,1,2021,3,0.0,7.0,0.0,0.0,1.2,0.0,0.2,0.0,Win
Spain,Greece,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.0,1.8,0.2,0.2,Draw
Sweden,Georgia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Win
Bulgaria,Switzerland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.2,2.0,0.2,0.0,Loss
Italy,Northern Ireland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.4,0.0,0.2,0.0,Win
Israel,Denmark,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.6,Loss
Scotland,Austria,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.2,1.4,0.4,0.0,Draw
Moldova,Faroe Islands,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Draw
England,San Marino,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.0,Win
Andorra,Albania,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.4,Loss
Hungary,Poland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.8,2.0,0.0,0.0,Draw
Germany,Iceland,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,Win
Liechtenstein,Armenia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.2,Loss
Romania,North Macedonia,FIFA World Cup qualification,0,2021,3,0.0,0.0,0.0,0.0,1.4,1.8,0.2,0.2,Win
South Africa,Ghana,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Gambia,Angola,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Gabon,DR Congo,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Comoros,Togo,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Kenya,Egypt,African Cup of Nations qualification,0,2021,3,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Botswana,Zimbabwe,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Zambia,Algeria,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Equatorial Guinea,Tanzania,African Cup of Nations qualification,0,2021,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Win
Libya,Tunisia,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Tajikistan,Mongolia,FIFA World Cup qualification,0,2021,3,0.5,1.0,0.0,0.0,1.4,0.0,0.4,0.0,Win
Chile,Bolivia,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Burundi,Central African Republic,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Mauritania,Morocco,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Cape Verde,Cameroon,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Eswatini,Guinea-Bissau,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Congo,Senegal,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Niger,Ivory Coast,African Cup of Nations qualification,1,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Bosnia and Herzegovina,Costa Rica,Friendly,0,2021,3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Nepal,Bangladesh,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Qatar,Azerbaijan,Friendly,1,2021,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Win
Wales,Mexico,Friendly,0,2021,3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
United States Virgin Islands,Antigua and Barbuda,FIFA World Cup qualification,0,2021,3,0.0,0.0,2.0,2.0,0.0,1.6,0.0,0.2,Loss
Aruba,Suriname,FIFA World Cup qualification,1,2021,3,0.0,0.0,3.0,0.0,0.0,1.4,0.0,0.2,Loss
British Virgin Islands,Guatemala,FIFA World Cup qualification,1,2021,3,0.0,0.0,1.0,0.0,0.0,2.6,0.0,0.0,Loss
Anguilla,Dominican Republic,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.8,0.0,0.0,Loss
Turks and Caicos Islands,Nicaragua,FIFA World Cup qualification,1,2021,3,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.2,Loss
Bahamas,Saint Kitts and Nevis,FIFA World Cup qualification,0,2021,3,0.0,0.0,1.0,0.0,0.0,2.4,0.0,0.2,Loss
Republic of Ireland,Luxembourg,FIFA World Cup qualification,0,2021,3,2.0,3.0,0.0,1.0,0.0,1.6,0.0,0.2,Loss
Serbia,Portugal,FIFA World Cup qualification,0,2021,3,1.0,0.6666666666666666,1.0,0.0,2.0,2.0,0.2,0.0,Draw
Belarus,Estonia,FIFA World Cup qualification,0,2021,3,1.0,1.0,2.0,6.0,2.0,1.4,0.2,0.2,Win
Czech Republic,Belgium,FIFA World Cup qualification,0,2021,3,6.0,2.0,3.0,1.0,2.0,2.0,0.0,0.6,Draw
Montenegro,Gibraltar,FIFA World Cup qualification,0,2021,3,2.0,1.0,0.0,3.0,1.6,1.2,0.2,0.0,Win
Netherlands,Latvia,FIFA World Cup qualification,0,2021,3,2.0,4.0,1.0,2.0,1.6,0.0,0.2,0.0,Win
Norway,Turkey,FIFA World Cup qualification,1,2021,3,3.0,0.0,4.0,2.0,0.0,1.8,0.0,0.6,Loss
Russia,Slovenia,FIFA World Cup qualification,0,2021,3,3.0,1.0,1.0,0.0,2.2,1.4,0.2,0.6,Win
Croatia,Cyprus,FIFA World Cup qualification,0,2021,3,0.0,1.0,0.0,0.0,1.4,0.0,0.0,0.0,Win
Slovakia,Malta,FIFA World Cup qualification,0,2021,3,0.0,0.0,1.0,3.0,1.4,1.4,0.0,0.0,Draw
Lesotho,Sierra Leone,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Draw
Benin,Nigeria,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Greece,Honduras,Friendly,0,2021,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Win
Northern Ireland,United States,Friendly,0,2021,3,0.0,2.0,5.5,0.5,0.0,0.0,0.0,0.0,Loss
Montserrat,El Salvador,FIFA World Cup qualification,1,2021,3,2.0,2.0,2.0,0.0,1.2,1.4,0.2,0.0,Draw
Cuba,Curaçao,FIFA World Cup qualification,1,2021,3,0.0,1.0,5.0,0.0,1.2,1.8,0.0,0.0,Loss
Dominica,Panama,FIFA World Cup qualification,1,2021,3,0.0,1.0,0.5,0.0,1.6,1.8,0.0,0.2,Loss
Puerto Rico,Trinidad and Tobago,FIFA World Cup qualification,0,2021,3,0.3333333333333333,0.6666666666666666,1.5,3.5,1.8,1.6,0.0,0.2,Draw
Georgia,Spain,FIFA World Cup qualification,0,2021,3,0.0,1.0,1.0,1.0,1.2,2.0,0.6,0.2,Loss
Kosovo,Sweden,FIFA World Cup qualification,0,2021,3,4.0,0.0,1.0,0.0,0.0,1.8,0.0,0.0,Loss
Switzerland,Lithuania,FIFA World Cup qualification,0,2021,3,3.0,1.0,0.0,4.0,1.6,0.0,0.0,0.0,Win
Bulgaria,Italy,FIFA World Cup qualification,0,2021,3,1.0,3.0,2.0,0.0,0.0,1.6,0.0,0.2,Loss
Kazakhstan,France,FIFA World Cup qualification,0,2021,3,0.0,0.0,1.0,1.0,0.0,2.2,0.0,0.2,Loss
Ukraine,Finland,FIFA World Cup qualification,0,2021,3,1.0,1.0,2.0,2.0,1.2,1.4,0.2,0.0,Draw
Denmark,Moldova,FIFA World Cup qualification,0,2021,3,2.0,0.0,1.0,1.0,1.8,0.0,0.6,0.0,Win
Austria,Faroe Islands,FIFA World Cup qualification,0,2021,3,2.0,2.0,1.0,1.0,1.2,1.0,0.0,0.0,Win
Israel,Scotland,FIFA World Cup qualification,0,2021,3,0.0,2.0,2.0,2.0,1.0,1.4,0.0,0.2,Draw
Albania,England,FIFA World Cup qualification,0,2021,3,1.0,0.0,5.0,0.0,0.0,2.8,0.0,0.4,Loss
Poland,Andorra,FIFA World Cup qualification,0,2021,3,3.0,3.0,0.0,1.0,2.2,0.0,0.0,0.0,Win
San Marino,Hungary,FIFA World Cup qualification,0,2021,3,0.0,5.0,3.0,3.0,0.0,1.8,0.0,0.0,Loss
Armenia,Iceland,FIFA World Cup qualification,0,2021,3,1.0,0.0,0.0,3.0,1.4,0.0,0.2,0.0,Win
North Macedonia,Liechtenstein,FIFA World Cup qualification,0,2021,3,2.0,3.0,0.0,1.0,1.8,0.0,0.2,0.0,Win
Romania,Germany,FIFA World Cup qualification,0,2021,3,3.0,2.0,3.0,0.0,0.0,2.2,0.0,0.0,Loss
Namibia,Guinea,African Cup of Nations qualification,0,2021,3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Win
Mali,Chad,African Cup of Nations qualification,0,2021,3,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Win
Ghana,São Tomé and Príncipe,African Cup of Nations qualification,0,2021,3,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Win
Sudan,South Africa,African Cup of Nations qualification,0,2021,3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Win
Tunisia,Equatorial Guinea,African Cup of Nations qualification,0,2021,3,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Win
Tanzania,Libya,African Cup of Nations qualification,0,2021,3,0.5,1.5,2.0,5.0,0.0,0.0,0.0,0.0,Win
Ecuador,Bolivia,Friendly,0,2021,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Win
Kuwait,Lebanon,Friendly,1,2021,3,0.3333333333333333,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,Draw
Nepal,Bangladesh,Friendly,0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Uzbekistan,Iraq,Friendly,0,2021,3,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,Loss
Cayman Islands,Canada,FIFA World Cup qualification,1,2021,3,0.0,3.0,5.0,1.0,0.0,2.4,0.0,0.0,Loss
Burkina Faso,South Sudan,African Cup of Nations qualification,0,2021,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Win
Malawi,Uganda,African Cup of Nations qualification,0,2021,3,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Angola,Gabon,African Cup of Nations qualification,0,2021,3,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,Win
DR Congo,Gambia,African Cup of Nations qualification,0,2021,3,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Win
Togo,Kenya,African Cup of Nations qualification,0,2021,3,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,Loss
Egypt,Comoros,African Cup of Nations qualification,0,2021,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Algeria,Botswana,African Cup of Nations qualification,0,2021,3,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Win
Zimbabwe,Zambia,African Cup of Nations qualification,0,2021,3,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,Loss
United Arab Emirates,India,Friendly,0,2021,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Win
Bahrain,Jordan,Friendly,0,2021,3,3.0,1.0,0.6,0.6,0.0,0.0,0.0,0.0,Loss
Costa Rica,Mexico,Friendly,1,2021,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Loss
Iran,Syria,Friendly,0,2021,3,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,Win
Republic of Ireland,Qatar,Friendly,1,2021,3,1.0,2.0,1.5,0.5,0.0,0.0,0.0,0.0,Draw
Grenada,United States Virgin Islands,FIFA World Cup qualification,0,2021,3,0.0,2.0,0.0,3.0,1.8,0.0,0.4,0.0,Win
Bermuda,Aruba,FIFA World Cup qualification,1,2021,3,1.0,5.0,0.0,6.0,1.4,0.0,0.2,0.0,Win
Saint Vincent and the Grenadines,British Virgin Islands,FIFA World Cup qualification,1,2021,3,0.0,5.0,0.0,3.0,1.6,0.0,0.4,0.0,Win
Barbados,Anguilla,FIFA World Cup qualification,1,2021,3,0.0,1.0,0.0,6.0,1.6,0.0,0.0,0.0,Win
Belize,Turks and Caicos Islands,FIFA World Cup qualification,1,2021,3,0.0,2.0,0.0,7.0,1.4,0.0,0.0,0.0,Win
Guyana,Bahamas,FIFA World Cup qualification,1,2021,3,0.0,3.0,0.0,4.0,1.6,0.0,0.6,0.0,Win
Azerbaijan,Serbia,FIFA World Cup qualification,0,2021,3,0.5,1.5,1.25,1.0,1.0,2.0,0.0,0.0,Loss
Luxembourg,Portugal,FIFA World Cup qualification,0,2021,3,0.5,0.5,1.5,1.0,1.4,1.4,0.2,0.0,Loss
Wales,Czech Republic,FIFA World Cup qualification,0,2021,3,1.0,1.5,3.5,1.5,1.4,0.0,0.0,0.0,Win
Belgium,Belarus,FIFA World Cup qualification,0,2021,3,2.0,1.0,2.5,1.5,2.0,0.0,0.4,0.0,Win
Gibraltar,Netherlands,FIFA World Cup qualification,0,2021,3,0.5,3.5,2.0,2.0,0.0,1.8,0.0,0.2,Loss
Montenegro,Norway,FIFA World Cup qualification,0,2021,3,3.0,1.0,1.5,1.5,0.0,1.6,0.0,0.0,Loss
Turkey,Latvia,FIFA World Cup qualification,0,2021,3,3.5,1.0,0.5,2.0,2.0,1.6,0.4,0.4,Draw
Cyprus,Slovenia,FIFA World Cup qualification,0,2021,3,0.0,0.5,1.0,1.0,1.6,0.0,0.2,0.0,Win
Croatia,Malta,FIFA World Cup qualification,0,2021,3,0.5,0.5,1.5,2.5,1.2,0.0,0.0,0.0,Win
Slovakia,Russia,FIFA World Cup qualification,0,2021,3,1.0,1.0,2.5,1.0,1.6,2.0,0.0,0.0,Win
Saudi Arabia,Palestine,FIFA World Cup qualification,0,2021,3,1.0,0.0,1.0,0.0,2.4,0.0,0.2,0.0,Win
Japan,Mongolia,FIFA World Cup qualification,0,2021,3,3.0,0.0,0.0,3.0,2.6,0.0,0.2,0.0,Win
Central African Republic,Mauritania,African Cup of Nations qualification,0,2021,3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Morocco,Burundi,African Cup of Nations qualification,0,2021,3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Win
Cameroon,Rwanda,African Cup of Nations qualification,0,2021,3,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Draw
Mozambique,Cape Verde,African Cup of Nations qualification,0,2021,3,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,Loss
Guinea-Bissau,Congo,African Cup of Nations qualification,0,2021,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Senegal,Eswatini,African Cup of Nations qualification,0,2021,3,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,Draw
Ivory Coast,Ethiopia,African Cup of Nations qualification,0,2021,3,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Win
Madagascar,Niger,African Cup of Nations qualification,0,2021,3,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,Draw
Nigeria,Lesotho,African Cup of Nations qualification,0,2021,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Win
Sweden,Estonia,Friendly,0,2021,3,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,Win
Switzerland,Finland,Friendly,0,2021,3,2.0,0.5,1.5,1.5,0.0,0.0,0.0,0.0,Win
Spain,Kosovo,FIFA World Cup qualification,0,2021,3,1.5,1.0,2.0,1.5,1.8,1.0,0.0,0.0,Win
Greece,Georgia,FIFA World Cup qualification,0,2021,3,1.5,1.0,0.5,1.5,1.8,1.2,0.4,0.4,Draw
Northern Ireland,Bulgaria,FIFA World Cup qualification,0,2021,3,0.5,2.0,0.5,2.5,0.0,0.0,0.0,0.0,Draw
Lithuania,Italy,FIFA World Cup qualification,0,2021,3,0.0,2.5,2.0,0.0,0.0,1.8,0.0,0.4,Loss
Bosnia and Herzegovina,France,FIFA World Cup qualification,0,2021,3,1.0,1.0,1.5,0.5,0.0,1.8,0.0,0.0,Loss
Ukraine,Kazakhstan,FIFA World Cup qualification,0,2021,3,1.0,1.0,0.0,2.0,1.0,1.2,0.2,0.0,Draw
Scotland,Faroe Islands,FIFA World Cup qualification,0,2021,3,1.5,1.5,1.0,2.0,1.2,0.0,0.0,0.0,Win
Austria,Denmark,FIFA World Cup qualification,0,2021,3,2.5,1.5,5.0,0.0,0.0,2.4,0.0,0.8,Loss
Moldova,Israel,FIFA World Cup qualification,0,2021,3,0.5,4.5,0.5,1.5,1.0,1.0,0.0,0.0,Loss
England,Poland,FIFA World Cup qualification,0,2021,3,3.5,0.0,3.0,1.5,2.4,2.0,0.4,0.0,Win
Andorra,Hungary,FIFA World Cup qualification,0,2021,3,0.0,2.0,3.0,1.5,1.0,2.2,0.0,0.4,Loss
San Marino,Albania,FIFA World Cup qualification,0,2021,3,0.0,4.0,0.5,1.0,0.0,2.0,0.0,0.4,Loss
Armenia,Romania,FIFA World Cup qualification,0,2021,3,1.5,0.0,1.5,1.5,1.4,1.8,0.0,0.2,Win
Germany,North Macedonia,FIFA World Cup qualification,0,2021,3,2.0,0.0,3.5,1.5,2.2,2.0,0.0,0.4,Loss
Liechtenstein,Iceland,FIFA World Cup qualification,0,2021,3,0.0,3.0,0.0,2.5,1.4,1.0,0.2,0.0,Loss
Ukraine,Bahrain,Friendly,0,2021,5,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,Draw
Iraq,Tajikistan,Friendly,0,2021,5,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,Draw
United Arab Emirates,Jordan,Friendly,0,2021,5,3.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,Win
Indonesia,Afghanistan,Friendly,1,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loss
Oman,Thailand,Friendly,1,2021,5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Win
Turkey,Azerbaijan,Friendly,0,2021,5,3.3333333333333335,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,Win
