home_team,away_team,tournament,is_neutral,year,month,home_result
Vietnam,Thailand,AFF Championship,1,2021,12,Loss
Singapore,Indonesia,AFF Championship,0,2021,12,Loss
Thailand,Vietnam,AFF Championship,1,2021,12,Draw
Indonesia,Thailand,AFF Championship,1,2021,12,Loss
Mauritania,Burkina Faso,Friendly,1,2021,12,Draw
Sudan,Ethiopia,Friendly,1,2021,12,Loss
Malawi,Comoros,Friendly,1,2021,12,Win
Thailand,Indonesia,AFF Championship,1,2022,1,Draw
Gabon,Burkina Faso,Friendly,1,2022,1,Loss
Sudan,Zimbabwe,Friendly,1,2022,1,Draw
Rwanda,Guinea,Friendly,0,2022,1,Win
Mauritania,Gabon,Friendly,1,2022,1,Draw
Algeria,Ghana,Friendly,1,2022,1,Win
Rwanda,Guinea,Friendly,0,2022,1,Loss
Cameroon,Burkina Faso,African Cup of Nations,0,2022,1,Win
Ethiopia,Cape Verde,African Cup of Nations,1,2022,1,Loss
Senegal,Zimbabwe,African Cup of Nations,1,2022,1,Win
Guinea,Malawi,African Cup of Nations,1,2022,1,Win
Morocco,Ghana,African Cup of Nations,1,2022,1,Win
Comoros,Gabon,African Cup of Nations,1,2022,1,Loss
Nigeria,Egypt,African Cup of Nations,1,2022,1,Win
Sudan,Guinea-Bissau,African Cup of Nations,1,2022,1,Draw
Algeria,Sierra Leone,African Cup of Nations,1,2022,1,Draw
Iceland,Uganda,Friendly,1,2022,1,Draw
Equatorial Guinea,Ivory Coast,African Cup of Nations,1,2022,1,Loss
Tunisia,Mali,African Cup of Nations,1,2022,1,Loss
Mauritania,Gambia,African Cup of Nations,1,2022,1,Loss
Cameroon,Ethiopia,African Cup of Nations,0,2022,1,Win
Cape Verde,Burkina Faso,African Cup of Nations,1,2022,1,Loss
Senegal,Guinea,African Cup of Nations,1,2022,1,Draw
Malawi,Zimbabwe,African Cup of Nations,1,2022,1,Win
Morocco,Comoros,African Cup of Nations,1,2022,1,Win
Gabon,Ghana,African Cup of Nations,1,2022,1,Draw
South Korea,Iceland,Friendly,1,2022,1,Win
Nigeria,Sudan,African Cup of Nations,1,2022,1,Win
Guinea-Bissau,Egypt,African Cup of Nations,1,2022,1,Loss
Colombia,Honduras,Friendly,1,2022,1,Win
Peru,Panama,Friendly,0,2022,1,Draw
Ivory Coast,Sierra Leone,African Cup of Nations,1,2022,1,Draw
Algeria,Equatorial Guinea,African Cup of Nations,1,2022,1,Loss
Gambia,Mali,African Cup of Nations,1,2022,1,Draw
Tunisia,Mauritania,African Cup of Nations,1,2022,1,Win
Burkina Faso,Ethiopia,African Cup of Nations,1,2022,1,Draw
Cameroon,Cape Verde,African Cup of Nations,0,2022,1,Draw
Moldova,Uganda,Friendly,1,2022,1,Loss
Malawi,Senegal,African Cup of Nations,1,2022,1,Draw
Zimbabwe,Guinea,African Cup of Nations,1,2022,1,Win
Gabon,Morocco,African Cup of Nations,1,2022,1,Draw
Ghana,Comoros,African Cup of Nations,1,2022,1,Loss
Egypt,Sudan,African Cup of Nations,1,2022,1,Win
Guinea-Bissau,Nigeria,African Cup of Nations,1,2022,1,Loss
South Korea,Moldova,Friendly,1,2022,1,Win
Peru,Jamaica,Friendly,0,2022,1,Win
Ivory Coast,Algeria,African Cup of Nations,1,2022,1,Win
Sierra Leone,Equatorial Guinea,African Cup of Nations,1,2022,1,Loss
Gambia,Tunisia,African Cup of Nations,1,2022,1,Win
Mali,Mauritania,African Cup of Nations,1,2022,1,Win
Bolivia,Trinidad and Tobago,Friendly,0,2022,1,Win
Iraq,Uganda,Friendly,0,2022,1,Win
Burkina Faso,Gabon,African Cup of Nations,1,2022,1,Draw
Nigeria,Tunisia,African Cup of Nations,1,2022,1,Loss
Cameroon,Comoros,African Cup of Nations,0,2022,1,Win
Guinea,Gambia,African Cup of Nations,1,2022,1,Loss
Morocco,Malawi,African Cup of Nations,1,2022,1,Win
Senegal,Cape Verde,African Cup of Nations,1,2022,1,Win
Ivory Coast,Egypt,African Cup of Nations,1,2022,1,Draw
Mali,Equatorial Guinea,African Cup of Nations,1,2022,1,Draw
Bahrain,Uganda,Friendly,0,2022,1,Win
Indonesia,Timor-Leste,Friendly,0,2022,1,Win
Uzbekistan,South Sudan,Friendly,1,2022,1,Win
Jamaica,Mexico,FIFA World Cup qualification,0,2022,1,Loss
United States,El Salvador,FIFA World Cup qualification,0,2022,1,Win
Honduras,Canada,FIFA World Cup qualification,0,2022,1,Loss
Costa Rica,Panama,FIFA World Cup qualification,0,2022,1,Win
Lebanon,South Korea,FIFA World Cup qualification,0,2022,1,Loss
Iran,Iraq,FIFA World Cup qualification,0,2022,1,Win
United Arab Emirates,Syria,FIFA World Cup qualification,0,2022,1,Win
Japan,China,FIFA World Cup qualification,0,2022,1,Win
Australia,Vietnam,FIFA World Cup qualification,0,2022,1,Win
Saudi Arabia,Oman,FIFA World Cup qualification,0,2022,1,Win
Ecuador,Brazil,FIFA World Cup qualification,0,2022,1,Draw
Paraguay,Uruguay,FIFA World Cup qualification,0,2022,1,Loss
Chile,Argentina,FIFA World Cup qualification,0,2022,1,Loss
Jordan,New Zealand,Friendly,1,2022,1,Win
Suriname,Barbados,Friendly,0,2022,1,Win
Colombia,Peru,FIFA World Cup qualification,0,2022,1,Loss
Venezuela,Bolivia,FIFA World Cup qualification,0,2022,1,Win
Kuwait,Libya,Friendly,0,2022,1,Win
Nepal,Mauritius,Friendly,0,2022,1,Win
Nicaragua,Belize,Friendly,0,2022,1,Win
Burkina Faso,Tunisia,African Cup of Nations,1,2022,1,Win
Cameroon,Gambia,African Cup of Nations,0,2022,1,Win
Indonesia,Timor-Leste,Friendly,0,2022,1,Win
Egypt,Morocco,African Cup of Nations,1,2022,1,Win
Senegal,Equatorial Guinea,African Cup of Nations,1,2022,1,Win
Canada,United States,FIFA World Cup qualification,0,2022,1,Win
Mexico,Costa Rica,FIFA World Cup qualification,0,2022,1,Draw
Panama,Jamaica,FIFA World Cup qualification,0,2022,1,Win
Honduras,El Salvador,FIFA World Cup qualification,0,2022,1,Loss
Bahrain,DR Congo,Friendly,0,2022,2,Win
Kuwait,Libya,Friendly,0,2022,2,Loss
Nepal,Mauritius,Friendly,0,2022,2,Win
Nicaragua,Belize,Friendly,0,2022,2,Draw
Suriname,Guyana,Friendly,0,2022,2,Win
Lebanon,Iraq,FIFA World Cup qualification,0,2022,2,Draw
Iran,United Arab Emirates,FIFA World Cup qualification,0,2022,2,Win
Syria,South Korea,FIFA World Cup qualification,1,2022,2,Loss
Vietnam,China,FIFA World Cup qualification,0,2022,2,Win
Japan,Saudi Arabia,FIFA World Cup qualification,0,2022,2,Win
Oman,Australia,FIFA World Cup qualification,0,2022,2,Draw
Bolivia,Chile,FIFA World Cup qualification,0,2022,2,Loss
Uruguay,Venezuela,FIFA World Cup qualification,0,2022,2,Win
Argentina,Colombia,FIFA World Cup qualification,0,2022,2,Win
Peru,Ecuador,FIFA World Cup qualification,0,2022,2,Draw
Brazil,Paraguay,FIFA World Cup qualification,0,2022,2,Win
Burkina Faso,Senegal,African Cup of Nations,1,2022,2,Loss
United States,Honduras,FIFA World Cup qualification,0,2022,2,Win
Jamaica,Costa Rica,FIFA World Cup qualification,0,2022,2,Loss
El Salvador,Canada,FIFA World Cup qualification,0,2022,2,Loss
Mexico,Panama,FIFA World Cup qualification,0,2022,2,Win
Cameroon,Egypt,African Cup of Nations,0,2022,2,Draw
Cameroon,Burkina Faso,African Cup of Nations,0,2022,2,Draw
Senegal,Egypt,African Cup of Nations,1,2022,2,Draw
Cook Islands,Solomon Islands,FIFA World Cup qualification,1,2022,3,Loss
Papua New Guinea,New Zealand,FIFA World Cup qualification,1,2022,3,Loss
New Caledonia,Fiji,FIFA World Cup qualification,1,2022,3,Loss
Iraq,Zambia,Friendly,0,2022,3,Win
Mauritius,Seychelles,Friendly,0,2022,3,Draw
Papua New Guinea,New Caledonia,FIFA World Cup qualification,1,2022,3,Win
New Zealand,Fiji,FIFA World Cup qualification,1,2022,3,Win
Bahrain,India,Friendly,0,2022,3,Win
Gibraltar,Grenada,Friendly,0,2022,3,Draw
Guinea-Bissau,Equatorial Guinea,Friendly,1,2022,3,Win
Guadeloupe,Cape Verde,Friendly,1,2022,3,Loss
Laos,Mongolia,Friendly,0,2022,3,Win
Malaysia,Philippines,Friendly,1,2022,3,Win
Mozambique,Niger,Friendly,1,2022,3,Draw
Tanzania,Central African Republic,Friendly,0,2022,3,Win
Chad,Gambia,African Cup of Nations qualification,1,2022,3,Loss
Djibouti,South Sudan,African Cup of Nations qualification,1,2022,3,Loss
Seychelles,Lesotho,African Cup of Nations qualification,1,2022,3,Draw
Somalia,Eswatini,African Cup of Nations qualification,1,2022,3,Loss
Jamaica,El Salvador,FIFA World Cup qualification,0,2022,3,Draw
Mexico,United States,FIFA World Cup qualification,0,2022,3,Draw
Panama,Honduras,FIFA World Cup qualification,0,2022,3,Draw
Costa Rica,Canada,FIFA World Cup qualification,0,2022,3,Win
Lebanon,Syria,FIFA World Cup qualification,0,2022,3,Loss
Iraq,United Arab Emirates,FIFA World Cup qualification,1,2022,3,Win
South Korea,Iran,FIFA World Cup qualification,0,2022,3,Win
China,Saudi Arabia,FIFA World Cup qualification,1,2022,3,Draw
Vietnam,Oman,FIFA World Cup qualification,0,2022,3,Loss
Australia,Japan,FIFA World Cup qualification,0,2022,3,Loss
Solomon Islands,Tahiti,FIFA World Cup qualification,1,2022,3,Win
Fiji,Papua New Guinea,FIFA World Cup qualification,1,2022,3,Loss
New Zealand,New Caledonia,FIFA World Cup qualification,1,2022,3,Win
Colombia,Bolivia,FIFA World Cup qualification,0,2022,3,Win
Brazil,Chile,FIFA World Cup qualification,0,2022,3,Win
Paraguay,Ecuador,FIFA World Cup qualification,0,2022,3,Win
Uruguay,Peru,FIFA World Cup qualification,0,2022,3,Win
Italy,North Macedonia,FIFA World Cup qualification,0,2022,3,Loss
Portugal,Turkey,FIFA World Cup qualification,0,2022,3,Win
Sweden,Czech Republic,FIFA World Cup qualification,0,2022,3,Win
Wales,Austria,FIFA World Cup qualification,0,2022,3,Win
Armenia,Montenegro,Friendly,0,2022,3,Win
Guatemala,Cuba,Friendly,0,2022,3,Win
Hungary,Serbia,Friendly,0,2022,3,Loss
Kosovo,Burkina Faso,Friendly,0,2022,3,Win
Liberia,Benin,Friendly,1,2022,3,Loss
Maldives,Bangladesh,Friendly,0,2022,3,Win
Scotland,Poland,Friendly,0,2022,3,Draw
Thailand,Nepal,Friendly,0,2022,3,Win
Togo,Sierra Leone,Friendly,1,2022,3,Win
Estonia,Cyprus,UEFA Nations League,0,2022,3,Draw
Moldova,Kazakhstan,UEFA Nations League,0,2022,3,Loss
Mauritius,São Tomé and Príncipe,African Cup of Nations qualification,0,2022,3,Win
Cameroon,Algeria,FIFA World Cup qualification,0,2022,3,Loss
DR Congo,Morocco,FIFA World Cup qualification,0,2022,3,Draw
Egypt,Senegal,FIFA World Cup qualification,0,2022,3,Win
Ghana,Nigeria,FIFA World Cup qualification,0,2022,3,Draw
Mali,Tunisia,FIFA World Cup qualification,0,2022,3,Loss
Argentina,Venezuela,FIFA World Cup qualification,0,2022,3,Win
Andorra,Saint Kitts and Nevis,Friendly,0,2022,3,Win
Bosnia and Herzegovina,Georgia,Friendly,0,2022,3,Loss
Cape Verde,Liechtenstein,Friendly,1,2022,3,Win
Comoros,Ethiopia,Friendly,0,2022,3,Win
Congo,Zambia,Friendly,1,2022,3,Loss
France,Ivory Coast,Friendly,0,2022,3,Win
Latvia,Kuwait,Friendly,1,2022,3,Draw
Luxembourg,Northern Ireland,Friendly,0,2022,3,Loss
Malta,Azerbaijan,Friendly,0,2022,3,Win
Norway,Slovakia,Friendly,0,2022,3,Win
Romania,Greece,Friendly,0,2022,3,Loss
San Marino,Lithuania,Friendly,0,2022,3,Loss
South Africa,Guinea,Friendly,1,2022,3,Draw
Tajikistan,Uganda,Navruz Cup,1,2022,3,Draw
Trinidad and Tobago,Barbados,Friendly,0,2022,3,Win
Uzbekistan,Kyrgyzstan,Navruz Cup,0,2022,3,Win
Alderney,Jersey,Muratti Vase,0,2022,3,Loss
Angola,Guinea-Bissau,Friendly,1,2022,3,Win
Bahrain,Burundi,Friendly,1,2022,3,Win
Belarus,India,Friendly,1,2022,3,Win
Central African Republic,Sudan,Friendly,1,2022,3,Draw
Croatia,Slovenia,Friendly,1,2022,3,Draw
England,Switzerland,Friendly,0,2022,3,Win
Finland,Iceland,Friendly,1,2022,3,Draw
Germany,Israel,Friendly,0,2022,3,Win
Gibraltar,Faroe Islands,Friendly,0,2022,3,Draw
Libya,Niger,Friendly,1,2022,3,Win
Mauritania,Mozambique,Friendly,0,2022,3,Win
Netherlands,Denmark,Friendly,0,2022,3,Win
Qatar,Bulgaria,Friendly,0,2022,3,Win
Republic of Ireland,Belgium,Friendly,0,2022,3,Draw
Singapore,Malaysia,Friendly,0,2022,3,Win
Spain,Albania,Friendly,0,2022,3,Win
El Salvador,Costa Rica,FIFA World Cup qualification,0,2022,3,Loss
Canada,Jamaica,FIFA World Cup qualification,0,2022,3,Win
Honduras,Mexico,FIFA World Cup qualification,0,2022,3,Loss
United States,Panama,FIFA World Cup qualification,0,2022,3,Win
New Zealand,Tahiti,FIFA World Cup qualification,1,2022,3,Win
Solomon Islands,Papua New Guinea,FIFA World Cup qualification,1,2022,3,Win
Barbados,Guyana,Friendly,1,2022,3,Loss
Belize,Cuba,Friendly,0,2022,3,Loss
Benin,Zambia,Friendly,1,2022,3,Win
Guatemala,Haiti,Friendly,1,2022,3,Win
Laos,Brunei,Friendly,0,2022,3,Win
Liberia,Sierra Leone,Friendly,1,2022,3,Loss
Thailand,Suriname,Friendly,0,2022,3,Win
South Sudan,Djibouti,African Cup of Nations qualification,1,2022,3,Win
Lesotho,Seychelles,African Cup of Nations qualification,1,2022,3,Win
Eswatini,Somalia,African Cup of Nations qualification,1,2022,3,Win
Mauritius,São Tomé and Príncipe,African Cup of Nations qualification,0,2022,3,Draw
Andorra,Grenada,Friendly,0,2022,3,Win
Cape Verde,San Marino,Friendly,1,2022,3,Win
Montenegro,Greece,Friendly,0,2022,3,Win
Vanuatu,Fiji,Friendly,1,2022,3,Loss
Algeria,Cameroon,FIFA World Cup qualification,0,2022,3,Loss
Morocco,DR Congo,FIFA World Cup qualification,0,2022,3,Win
Nigeria,Ghana,FIFA World Cup qualification,0,2022,3,Draw
Senegal,Egypt,FIFA World Cup qualification,0,2022,3,Win
Tunisia,Mali,FIFA World Cup qualification,0,2022,3,Draw
Iran,Lebanon,FIFA World Cup qualification,0,2022,3,Win
Syria,Iraq,FIFA World Cup qualification,1,2022,3,Draw
United Arab Emirates,South Korea,FIFA World Cup qualification,0,2022,3,Win
Japan,Vietnam,FIFA World Cup qualification,0,2022,3,Draw
Oman,China,FIFA World Cup qualification,0,2022,3,Win
Saudi Arabia,Australia,FIFA World Cup qualification,0,2022,3,Win
Ecuador,Argentina,FIFA World Cup qualification,0,2022,3,Draw
Peru,Paraguay,FIFA World Cup qualification,0,2022,3,Win
Bolivia,Brazil,FIFA World Cup qualification,0,2022,3,Loss
Venezuela,Colombia,FIFA World Cup qualification,0,2022,3,Loss
Chile,Uruguay,FIFA World Cup qualification,0,2022,3,Loss
Poland,Sweden,FIFA World Cup qualification,0,2022,3,Win
Portugal,North Macedonia,FIFA World Cup qualification,0,2022,3,Win
Albania,Georgia,Friendly,0,2022,3,Draw
Angola,Equatorial Guinea,Friendly,1,2022,3,Draw
Austria,Scotland,Friendly,0,2022,3,Draw
Azerbaijan,Latvia,Friendly,1,2022,3,Loss
Bahrain,Belarus,Friendly,0,2022,3,Loss
Bangladesh,Mongolia,Friendly,0,2022,3,Draw
Belgium,Burkina Faso,Friendly,0,2022,3,Win
Bosnia and Herzegovina,Luxembourg,Friendly,0,2022,3,Win
Congo,Sierra Leone,Friendly,1,2022,3,Loss
Croatia,Bulgaria,Friendly,1,2022,3,Win
Denmark,Serbia,Friendly,0,2022,3,Win
England,Ivory Coast,Friendly,0,2022,3,Win
Faroe Islands,Liechtenstein,Friendly,1,2022,3,Win
Finland,Slovakia,Friendly,1,2022,3,Loss
France,South Africa,Friendly,0,2022,3,Win
Israel,Romania,Friendly,0,2022,3,Draw
Liberia,Burundi,Friendly,1,2022,3,Loss
Malta,Kuwait,Friendly,0,2022,3,Win
Mauritania,Libya,Friendly,0,2022,3,Win
Netherlands,Germany,Friendly,0,2022,3,Draw
Northern Ireland,Hungary,Friendly,0,2022,3,Loss
Norway,Armenia,Friendly,0,2022,3,Win
Qatar,Slovenia,Friendly,0,2022,3,Draw
Republic of Ireland,Lithuania,Friendly,0,2022,3,Win
Singapore,Philippines,Friendly,0,2022,3,Win
Spain,Iceland,Friendly,0,2022,3,Win
Switzerland,Kosovo,Friendly,0,2022,3,Draw
Tanzania,Sudan,Friendly,0,2022,3,Draw
Togo,Benin,Friendly,1,2022,3,Draw
Trinidad and Tobago,Guyana,Friendly,0,2022,3,Draw
Turkey,Italy,Friendly,0,2022,3,Loss
Wales,Czech Republic,Friendly,0,2022,3,Draw
Tajikistan,Kyrgyzstan,Navruz Cup,1,2022,3,Win
Uzbekistan,Uganda,Navruz Cup,0,2022,3,Win
Cyprus,Estonia,UEFA Nations League,0,2022,3,Win
Kazakhstan,Moldova,UEFA Nations League,0,2022,3,Loss
Gambia,Chad,African Cup of Nations qualification,1,2022,3,Draw
Mexico,El Salvador,FIFA World Cup qualification,0,2022,3,Win
Costa Rica,United States,FIFA World Cup qualification,0,2022,3,Win
Panama,Canada,FIFA World Cup qualification,0,2022,3,Win
Jamaica,Honduras,FIFA World Cup qualification,0,2022,3,Win
Solomon Islands,New Zealand,FIFA World Cup qualification,1,2022,3,Loss
Elba Island,Vatican City,Friendly,0,2022,4,Win
Alderney,Guernsey,Muratti Vase,0,2022,4,Loss
El Salvador,Guatemala,Friendly,1,2022,4,Loss
Mexico,Guatemala,Friendly,1,2022,4,Draw
Bahamas,Turks and Caicos Islands,Friendly,0,2022,5,Win
Dominica,Saint Vincent and the Grenadines,Friendly,0,2022,5,Win
Guernsey,Jersey,Muratti Vase,0,2022,5,Loss
Bahamas,Turks and Caicos Islands,Friendly,0,2022,5,Loss
Dominica,Saint Vincent and the Grenadines,Friendly,0,2022,5,Win
Yoruba Nation,Matabeleland,CONIFA Africa Football Cup,1,2022,5,Draw
Jersey,Guernsey,Muratti Vase,0,2022,5,Win
Biafra,Matabeleland,CONIFA Africa Football Cup,1,2022,5,Loss
Yoruba Nation,Biafra,CONIFA Africa Football Cup,1,2022,5,Loss
Mozambique,Eswatini,Friendly,0,2022,5,Loss
Thailand,Bahrain,Friendly,0,2022,5,Win
Biafra,Matabeleland,CONIFA Africa Football Cup,1,2022,5,Win
Bahrain,Myanmar,Friendly,1,2022,5,Win
Malaysia,Brunei,Friendly,0,2022,5,Win
Thailand,Turkmenistan,Friendly,0,2022,5,Win
Ethiopia,Lesotho,Friendly,0,2022,5,Draw
India,Jordan,Friendly,1,2022,5,Loss
Mexico,Nigeria,Friendly,1,2022,5,Win
United Arab Emirates,Gambia,Friendly,0,2022,5,Draw
Ethiopia,Lesotho,Friendly,0,2022,5,Draw
Trinidad and Tobago,Saint Lucia,Friendly,0,2022,5,Win
Thailand,Bahrain,Friendly,0,2022,5,Loss
Italy,Argentina,CONMEBOL–UEFA Cup of Champions,1,2022,6,Loss
Scotland,Ukraine,FIFA World Cup qualification,0,2022,6,Loss
Angola,Central African Republic,African Cup of Nations qualification,0,2022,6,Win
Ghana,Madagascar,African Cup of Nations qualification,0,2022,6,Win
Libya,Botswana,African Cup of Nations qualification,0,2022,6,Win
Poland,Wales,UEFA Nations League,0,2022,6,Win
Australia,Jordan,Friendly,1,2022,6,Win
Indonesia,Bangladesh,Friendly,0,2022,6,Draw
Malta,Venezuela,Friendly,0,2022,6,Loss
Kuwait,Singapore,Friendly,1,2022,6,Win
Malaysia,Hong Kong,Friendly,0,2022,6,Win
Syria,Tajikistan,Friendly,1,2022,6,Win
United States,Morocco,Friendly,0,2022,6,Win
Vietnam,Afghanistan,Friendly,0,2022,6,Win
Tunisia,Equatorial Guinea,African Cup of Nations qualification,0,2022,6,Win
Mozambique,Rwanda,African Cup of Nations qualification,1,2022,6,Draw
Panama,Costa Rica,CONCACAF Nations League,0,2022,6,Win
Barbados,Antigua and Barbuda,CONCACAF Nations League,1,2022,6,Loss
Guadeloupe,Cuba,CONCACAF Nations League,0,2022,6,Win
Belize,Dominican Republic,CONCACAF Nations League,0,2022,6,Loss
French Guiana,Guatemala,CONCACAF Nations League,0,2022,6,Win
Anguilla,Dominica,CONCACAF Nations League,0,2022,6,Draw
Czech Republic,Switzerland,UEFA Nations League,0,2022,6,Win
Spain,Portugal,UEFA Nations League,0,2022,6,Draw
Israel,Iceland,UEFA Nations League,0,2022,6,Draw
Serbia,Norway,UEFA Nations League,0,2022,6,Loss
Slovenia,Sweden,UEFA Nations League,0,2022,6,Loss
Northern Ireland,Greece,UEFA Nations League,0,2022,6,Loss
Cyprus,Kosovo,UEFA Nations League,0,2022,6,Loss
Georgia,Gibraltar,UEFA Nations League,0,2022,6,Win
Bulgaria,North Macedonia,UEFA Nations League,0,2022,6,Draw
Estonia,San Marino,UEFA Nations League,0,2022,6,Win
Cambodia,Timor-Leste,Friendly,0,2022,6,Win
Ecuador,Nigeria,Friendly,1,2022,6,Win
Japan,Paraguay,Friendly,0,2022,6,Win
South Korea,Brazil,Friendly,0,2022,6,Loss
Mexico,Uruguay,Friendly,1,2022,6,Loss
Togo,Eswatini,African Cup of Nations qualification,0,2022,6,Draw
Burkina Faso,Cape Verde,African Cup of Nations qualification,1,2022,6,Win
Comoros,Lesotho,African Cup of Nations qualification,0,2022,6,Win
Ivory Coast,Zambia,African Cup of Nations qualification,0,2022,6,Win
Curaçao,Honduras,CONCACAF Nations League,0,2022,6,Loss
Bahamas,Saint Vincent and the Grenadines,CONCACAF Nations League,0,2022,6,Win
Nicaragua,Trinidad and Tobago,CONCACAF Nations League,0,2022,6,Win
Sint Maarten,United States Virgin Islands,CONCACAF Nations League,1,2022,6,Draw
Turks and Caicos Islands,Bonaire,CONCACAF Nations League,0,2022,6,Loss
Saint Martin,Aruba,CONCACAF Nations League,1,2022,6,Draw
British Virgin Islands,Cayman Islands,CONCACAF Nations League,0,2022,6,Draw
Croatia,Austria,UEFA Nations League,0,2022,6,Loss
France,Denmark,UEFA Nations League,0,2022,6,Loss
Belgium,Netherlands,UEFA Nations League,0,2022,6,Loss
Kazakhstan,Azerbaijan,UEFA Nations League,0,2022,6,Win
Belarus,Slovakia,UEFA Nations League,1,2022,6,Loss
Liechtenstein,Moldova,UEFA Nations League,0,2022,6,Loss
Latvia,Andorra,UEFA Nations League,0,2022,6,Win
Nepal,Oman,Friendly,1,2022,6,Loss
Namibia,Burundi,African Cup of Nations qualification,1,2022,6,Draw
Niger,Tanzania,African Cup of Nations qualification,1,2022,6,Draw
Algeria,Uganda,African Cup of Nations qualification,0,2022,6,Win
Gambia,South Sudan,African Cup of Nations qualification,1,2022,6,Win
Mali,Congo,African Cup of Nations qualification,0,2022,6,Win
Mauritania,Sudan,African Cup of Nations qualification,0,2022,6,Win
DR Congo,Gabon,African Cup of Nations qualification,0,2022,6,Loss
Senegal,Benin,African Cup of Nations qualification,0,2022,6,Win
Suriname,Jamaica,CONCACAF Nations League,0,2022,6,Draw
El Salvador,Grenada,CONCACAF Nations League,0,2022,6,Win
Bermuda,Haiti,CONCACAF Nations League,0,2022,6,Draw
Montserrat,Guyana,CONCACAF Nations League,1,2022,6,Loss
Hungary,England,UEFA Nations League,0,2022,6,Win
Italy,Germany,UEFA Nations League,0,2022,6,Draw
Armenia,Republic of Ireland,UEFA Nations League,0,2022,6,Win
Finland,Bosnia and Herzegovina,UEFA Nations League,0,2022,6,Draw
Montenegro,Romania,UEFA Nations League,0,2022,6,Win
Lithuania,Luxembourg,UEFA Nations League,0,2022,6,Loss
Turkey,Faroe Islands,UEFA Nations League,0,2022,6,Win
Wales,Ukraine,FIFA World Cup qualification,0,2022,6,Win
Malawi,Ethiopia,African Cup of Nations qualification,0,2022,6,Win
Egypt,Guinea,African Cup of Nations qualification,0,2022,6,Win
Central African Republic,Ghana,African Cup of Nations qualification,1,2022,6,Draw
Madagascar,Angola,African Cup of Nations qualification,0,2022,6,Draw
Botswana,Tunisia,African Cup of Nations qualification,0,2022,6,Draw
Costa Rica,Martinique,CONCACAF Nations League,0,2022,6,Win
Cuba,Barbados,CONCACAF Nations League,0,2022,6,Win
Antigua and Barbuda,Guadeloupe,CONCACAF Nations League,1,2022,6,Win
Guatemala,Belize,CONCACAF Nations League,0,2022,6,Win
Dominican Republic,French Guiana,CONCACAF Nations League,0,2022,6,Loss
Dominica,Anguilla,CONCACAF Nations League,1,2022,6,Draw
Portugal,Switzerland,UEFA Nations League,0,2022,6,Win
Czech Republic,Spain,UEFA Nations League,0,2022,6,Draw
Serbia,Slovenia,UEFA Nations League,0,2022,6,Win
Sweden,Norway,UEFA Nations League,0,2022,6,Loss
Cyprus,Northern Ireland,UEFA Nations League,0,2022,6,Draw
Kosovo,Greece,UEFA Nations League,0,2022,6,Loss
Gibraltar,North Macedonia,UEFA Nations League,0,2022,6,Loss
Bulgaria,Georgia,UEFA Nations League,0,2022,6,Loss
San Marino,Malta,UEFA Nations League,0,2022,6,Loss
Argentina,Estonia,Friendly,1,2022,6,Win
Mexico,Ecuador,Friendly,1,2022,6,Draw
Peru,New Zealand,Friendly,1,2022,6,Win
Saudi Arabia,Colombia,Friendly,1,2022,6,Loss
United States,Uruguay,Friendly,0,2022,6,Draw
Equatorial Guinea,Libya,African Cup of Nations qualification,0,2022,6,Win
Honduras,Curaçao,CONCACAF Nations League,0,2022,6,Loss
Saint Vincent and the Grenadines,Nicaragua,CONCACAF Nations League,0,2022,6,Draw
Trinidad and Tobago,Bahamas,CONCACAF Nations League,0,2022,6,Win
Bonaire,Sint Maarten,CONCACAF Nations League,1,2022,6,Draw
United States Virgin Islands,Turks and Caicos Islands,CONCACAF Nations League,0,2022,6,Win
Aruba,Saint Martin,CONCACAF Nations League,1,2022,6,Win
Cayman Islands,British Virgin Islands,CONCACAF Nations League,0,2022,6,Draw
Austria,Denmark,UEFA Nations League,0,2022,6,Loss
Croatia,France,UEFA Nations League,0,2022,6,Draw
Iceland,Albania,UEFA Nations League,0,2022,6,Draw
Belarus,Azerbaijan,UEFA Nations League,1,2022,6,Draw
Slovakia,Kazakhstan,UEFA Nations League,0,2022,6,Loss
Latvia,Liechtenstein,UEFA Nations League,0,2022,6,Win
Andorra,Moldova,UEFA Nations League,0,2022,6,Draw
South Korea,Chile,Friendly,0,2022,6,Win
Japan,Brazil,Friendly,0,2022,6,Loss
Eswatini,Burkina Faso,African Cup of Nations qualification,1,2022,6,Loss
Cape Verde,Togo,African Cup of Nations qualification,1,2022,6,Win
Zambia,Comoros,African Cup of Nations qualification,0,2022,6,Win
Senegal,Rwanda,African Cup of Nations qualification,0,2022,6,Win
Jamaica,Suriname,CONCACAF Nations League,0,2022,6,Win
Grenada,El Salvador,CONCACAF Nations League,0,2022,6,Draw
Guyana,Bermuda,CONCACAF Nations League,0,2022,6,Win
Haiti,Montserrat,CONCACAF Nations League,1,2022,6,Win
Germany,England,UEFA Nations League,0,2022,6,Draw
Italy,Hungary,UEFA Nations League,0,2022,6,Win
Finland,Montenegro,UEFA Nations League,0,2022,6,Win
Bosnia and Herzegovina,Romania,UEFA Nations League,0,2022,6,Win
Faroe Islands,Luxembourg,UEFA Nations League,0,2022,6,Loss
Lithuania,Turkey,UEFA Nations League,0,2022,6,Loss
United Arab Emirates,Australia,FIFA World Cup qualification,1,2022,6,Loss
